rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
399,Facundo Diaz Acosta,Argentina,ARG,102,399,2021-02-01,6,3,102
400,Petros Chrysochos,Cyprus,CYP,101,378,2018-12-31,-2,0,101
401,Collin Altamirano,United States,USA,101,267,2019-06-24,-2,0,173
402,Vitaliy Sachko,Ukraine,UKR,100,398,2021-01-04,-2,0,100
403,Evan Furness,France,FRA,100,391,2019-08-05,20,7,100
404,Tobias Simon,Germany,GER,100,391,2020-03-16,-3,0,100
405,Fabrizio Ornago,Italy,ITA,100,355,2018-11-05,-3,0,120
406,Fajing Sun,China,CHN,99,351,2020-02-10,-2,0,106
407,Raymond Sarmiento,United States,USA,98,287,2017-09-11,-1,0,173
408,Adam Pavlasek,Czech Republic,CZE,98,72,2017-01-09,-1,0,704
409,Christopher Heyman,Belgium,BEL,98,258,2018-02-19,-1,0,197
410,Oscar Jose Gutierrez,Brazil,BRA,97,363,2019-11-04,-1,0,106
411,Nick Chappell,United States,USA,97,406,2021-01-04,-1,0,97
412,Maxime Chazal,France,FRA,96,234,2016-03-07,-1,0,221
413,Gianluigi Quinzi,Italy,ITA,95,142,2019-04-15,-1,0,391
414,Gonzalo Villanueva,Argentina,ARG,95,375,2018-10-22,-1,0,109
415,Peter Heller,Germany,GER,95,271,2018-12-24,-1,0,184
416,Genaro Alberto Olivieri,Argentina,ARG,95,382,2020-02-17,-1,0,95
417,Rio Noguchi,Japan,JPN,95,397,2020-03-16,-1,0,95
418,Gastao Elias,Portugal,POR,94,57,2016-10-24,-1,0,831
419,Adrian Andreev,Bulgaria,BUL,94,418,2021-01-25,-1,0,94
420,Yshai Oliel,Israel,ISR,94,394,2020-03-09,-1,0,94
421,Ronald Slobodchikov,Russian Federation,RUS,94,384,2020-02-24,-1,0,94
422,Matteo Martineau,France,FRA,94,402,2019-08-12,13,5,94
423,Evgeny Tyurnev,Russian Federation,RUS,93,335,2018-12-24,-2,0,138
424,Alexey Zakharov,Russian Federation,RUS,93,397,2020-03-02,-2,0,93
425,Ze Zhang,China,CHN,92,148,2013-05-27,-1,0,374
426,Sebastian Fanselow,Germany,GER,92,282,2019-07-15,-1,0,144
427,Eduardo Struvay,Colombia,COL,91,158,2016-06-13,-1,0,340
428,Holger Vitus Nodskov Rune,Denmark,DEN,91,428,2021-02-01,30,10,91
429,Lucas Catarina,Monaco,MON,91,341,2018-06-11,-2,0,135
430,Laurynas Grigelis,Lithuania,LTU,90,183,2012-07-09,-2,0,278
431,Zizou Bergs,Belgium,BEL,90,386,2018-12-17,9,3,106
432,Artem Dubrivnyy,Russian Federation,RUS,90,394,2019-11-18,-3,0,92
433,Bogdan Bobrov,Russian Federation,RUS,90,425,2021-01-04,-3,0,90
434,Evan King,United States,USA,89,185,2018-04-23,-3,0,305
435,Daniel Michalski,Poland,POL,89,421,2020-02-24,-3,0,89
436,Francesco Forti,Italy,ITA,89,393,2019-07-22,-3,0,89
437,Manuel Pena Lopez,Argentina,ARG,89,395,2020-02-17,-3,0,89
438,Harold Mayot,France,FRA,88,409,2020-09-21,-2,0,88
439,Alexander Sarkissian,United States,USA,88,157,2016-04-04,-2,0,362
440,Antoine Cornut Chauvinc,France,FRA,88,408,2019-06-17,6,3,88
441,Martins Podzus,Latvia,LAT,87,418,2020-02-17,-3,0,88
442,Gonzalo Escobar,Ecuador,ECU,87,281,2015-06-15,-3,0,170
443,Zsombor Piros,Hungary,HUN,86,330,2019-07-15,-2,0,108
444,Yusuke Takahashi,Japan,JPN,86,238,2017-08-07,-2,0,216
445,Patrik Niklas Salminen,Finland,FIN,86,418,2020-03-02,-2,0,89
446,Benjamin Lock,Zimbabwe,ZIM,86,391,2018-12-17,-2,0,107
447,Liam Caruana,United States,USA,85,375,2018-02-12,-2,0,109
448,Daniel Gimeno Traver,Spain,ESP,84,48,2013-03-18,-1,0,998
449,Enrico Dalla Valle,Italy,ITA,84,404,2019-08-12,-1,0,84
450,Timofey Skatov,Russian Federation,RUS,84,438,2020-10-26,-1,0,84
451,Alexander Erler,Austria,AUT,83,398,2018-12-03,-1,0,99
452,Marcelo Arevalo,El Salvador,ESA,82,139,2018-07-02,-1,0,401
453,Alejandro Gonzalez,Colombia,COL,82,70,2014-06-09,-1,0,723
